A;T;S;R;H;F;Q;P;D;L;X;W;C;V
7.1;157;0.31;1.4;0.045;47;6;2.95;0.9916;10.5;0.17;0.75;0.42;0.18
8.3;189;0.62;1.5;0.049;56;6;3.21;0.9946;9.5;0.20;0.68;0.26;0.14
8.6;125;0.49;1.5;0.041;35;7;3.11;0.9925;11.4;0.20;0.96;0.42;0.2
8.6;125;0.49;1.5;0.041;35;7;3.11;0.9925;11.4;0.20;0.11;0.42;0.2
6.8;188;0.37;7.05;0.019;54;8;3.25;0.9935;11.1;0.10;0.79;0.32;0.19
7.6;174;0.38;10.6;0.06;48;6;3.13;0.9962;10.5;0.50;0.12;0.38;0.19
6.8;185;0.7;2.8;0.088;23;6;3.51;0.9928;12;0.13;0.80;0.74;0.34
6.2;123;0.51;1.6;0.039;38;6;3.38;0.993;9.7;0.20;0.55;0.46;0.15
6.6;140;0.51;1.6;0.042;47;6;3.32;0.993;10.2;1.00;0.59;0.44;0.14
8;60;0.3;8.2;0.04;13;4;3.09;0.9956;9.5;0.20;0.23;0.17;0.55
7;128;0.59;1.5;0.052;51;7;3.41;0.9941;10.4;0.13;0.34;0.35;0.24
6.3;245;0.57;11;0.05;50;4;3.19;0.9972;9.3;0.10;0.75;0.44;0.6
7.1;166;0.62;2.1;0.054;24;6;3.48;0.9948;10.5;0.11;0.32;0.41;0.2
6.2;232;0.62;7.6;0.047;45;6;3.35;0.9955;10;0.50;0.85;0.29;0.34
7.1;234;0.64;6.8;0.055;44.5;6;3.49;0.9972;10.2;0.17;0.88;0.36;0.3
7.1;234;0.64;6.8;0.055;44.5;6;3.49;0.9972;10.2;0.10;0.95;0.36;0.3
7.9;227;0.74;10.6;0.244;33;3;2.87;0.9983;9.1;0.11;0.98;0.46;0.64
8.8;148;0.67;1.8;0.04;39;6;3.16;0.9942;10.2;0.10;0.75;0.38;0.17
7.5;75;0.88;1.5;0.06;18;5;3.54;0.9936;10.7;0.50;0.37;0.37;0.17
7.1;77;0.56;6;0.044;11;5;3.21;0.9956;9.7;0.25;0.10;0.24;0.47
7.1;104;0.52;5.3;0.034;33;7;3.37;0.9953;9.3;0.11;0.26;0.34;0.15
7.5;102;0.74;1.4;0.035;13;5;3.05;0.9918;11;0.14;0.22;0.34;0.17
8.2;138;0.71;2.1;0.047;17;4;3.22;0.995;10.8;0.33;0.48;0.3;0.68
7.7;75;0.56;1;0.039;19;5;3.01;0.992;10.7;0.33;0.84;0.3;0.275
7.3;104;0.45;5.2;0.043;18;4;3.24;0.9952;10.7;0.33;0.72;0.32;0.49
7.5;243;0.4;19.45;0.048;55;5;2.95;1.001;8.8;0.17;0.39;0.48;0.33
7.2;94;0.48;1.6;0.049;23;7;3.16;0.9924;10.9;0.14;0.14;0.37;0.21
7.3;92;0.45;2;0.05;24;5;3.14;0.9932;10.5;0.17;0.43;0.4;0.15
6.5;107;0.45;1.3;0.046;23;5;3.29;0.9937;10;0.13;0.01;0.1;0.19
7;61;0.43;1.7;0.029;5;5;3.07;0.9918;10.4;1.00;0.69;0.52;0.31
8.3;75;0.43;1.1;0.038;15;5;3.03;0.9934;9.2;0.50;0.79;0.38;0.4
6.1;116;0.62;4.7;0.035;36;6;3.31;0.991;12.6;0.10;0.68;0.36;0.37
7.3;152;0.54;7.5;0.048;29;5;3.1;0.9962;9;0.25;0.16;0.34;0.24
6.9;123;0.39;1.1;0.137;52;6;3.03;0.9932;9.2;0.50;0.49;0.81;0.21
7.6;86;0.39;1.3;0.035;18;5;2.99;0.9908;11.3;0.33;0.25;0.42;0.29
9.4;119;0.69;2.2;0.05;17;4;3.12;0.9962;10.3;0.14;0.46;0.55;0.29
7;61;0.43;1.7;0.029;5;5;3.07;0.9918;10.4;0.14;0.52;0.52;0.31
8.6;111;0.44;2.2;0.049;29;5;2.96;0.9941;10;0.14;0.22;0.41;0.26
7.5;111;0.47;1.2;0.06;26;6;3.51;0.9931;10.7;0.10;0.27;0.34;0.21
7.2;197;0.47;10;0.093;35;5;3.41;0.9981;9;0.33;0.95;0.24;0.51
7.5;111;0.47;1.2;0.06;26;6;3.51;0.9931;10.7;0.20;0.98;0.34;0.21
5.3;166;0.54;1.1;0.077;48;4;3.3;0.9944;8.7;0.33;0.53;0.2;0.3
8;121;0.72;2;0.054;30;7;3.09;0.992;11.6;0.10;0.33;0.36;0.26
7;185;0.55;7.5;0.07;45;5;3.34;0.9966;9.4;0.33;0.94;0.28;0.21
6.7;216;0.68;4;0.079;35.5;5;3.31;0.9956;9.5;0.50;0.84;0.26;0.26
6.7;202;0.67;4.1;0.073;36;5;3.3;0.9956;9.5;0.11;0.57;0.26;0.26
8.1;159;0.7;1.9;0.072;48;6;3.37;0.9949;10.9;0.14;0.66;0.37;0.26
8.3;126;0.5;14.8;0.054;32;5;3.22;1.0002;9.7;0.17;0.95;0.38;0.22
6.4;172;0.45;5.5;0.048;62;6;3.08;0.9942;9.1;0.25;0.00;0.51;0.3
7.5;125;0.49;2.6;0.037;33;7;3.1;0.9923;11.1;0.13;0.16;0.34;0.19
8.8;87;0.4;6.35;0.024;9;7;2.96;0.9917;12.6;1.00;0.99;0.44;0.33
6.9;147;0.56;1.5;0.031;38;6;3.35;0.9931;11;0.33;0.64;0.36;0.2
8;166;0.55;1.6;0.04;32;7;3;0.992;11.3;0.20;0.62;0.32;0.37
8.3;126;0.5;14.8;0.054;32;5;3.22;1.0002;9.7;0.11;0.74;0.38;0.22
8.2;118;0.4;9.1;0.036;28;7;2.96;0.9953;10.9;0.14;0.40;0.33;0.29
7.7;192;0.47;8;0.048;25;5;2.97;0.9951;10.9;0.11;0.10;0.3;0.34
6.2;186;0.5;12;0.049;27;6;3.17;0.9974;9.3;0.13;0.42;0.45;0.55
6.4;124;0.54;3.2;0.033;28;7;3.22;0.9904;12.7;0.13;0.90;0.19;0.4
7.5;180;0.59;7.7;0.048;42;6;3.37;0.9974;10.1;0.17;0.13;0.33;0.28
7.8;132;0.65;1.3;0.037;43;5;3.18;0.9944;10;0.14;0.18;0.44;0.26
6.5;197;0.42;16.3;0.051;56;5;3.49;1.0004;9.8;0.33;0.49;0.34;0.26
6.3;227;0.53;6.2;0.046;29;6;3.29;0.9952;10.1;0.17;0.72;0.29;0.34
6.8;118;0.39;4.7;0.059;31;7;3.43;0.9956;9;0.33;0.44;0.33;0.15
6.3;155;0.38;5.8;0.038;52;6;3.28;0.995;9.4;1.00;0.17;0.25;0.27
6.3;155;0.38;5.8;0.038;52;6;3.28;0.995;9.4;0.10;0.54;0.25;0.27
7.4;190;0.42;16.95;0.048;43;6;3.03;0.9995;9.2;0.17;0.56;0.37;0.2
6.3;142;0.33;5.1;0.035;29;7;3.36;0.9942;10.1;0.10;0.30;0.21;0.23
7.3;160;0.45;10.2;0.041;58;5;3.06;0.9977;8.6;1.00;0.46;0.69;0.31
5.2;128;0.49;3.8;0.027;21;8;3.55;0.992;11.2;1.00;0.98;0.45;0.24
7;123;0.42;1.3;0.037;39;8;3.17;0.992;11.2;0.50;0.62;0.32;0.24
7.4;190;0.42;16.95;0.048;43;6;3.03;0.9995;9.2;0.17;0.07;0.37;0.2
7;127;0.39;4;0.034;17;7;3.19;0.9934;10.6;0.20;0.37;0.33;0.17
8.3;213;0.51;17.1;0.049;62;6;3.01;1.0006;9.3;0.17;0.77;0.58;0.21
7.2;178;0.47;14.5;0.048;35;6;3.05;0.9982;8.9;0.17;0.40;0.35;0.21
7.1;156;0.43;1.2;0.069;24;6;3.42;0.9928;10.6;0.11;0.53;0.4;0.21
8.4;132;0.32;6.7;0.038;29;7;3.1;0.9945;10.6;0.14;0.82;0.31;0.17
7.4;183;0.32;8.4;0.045;52;5;3.09;0.9963;8.8;1.00;0.50;0.31;0.24
5.3;97;0.38;1.3;0.033;25;8;3.59;0.9906;11;1.00;0.84;0.33;0.24
6.5;139;0.37;8.8;0.04;44;6;3.32;0.9956;10.2;0.17;0.88;0.26;0.28
6.3;142;0.33;5.1;0.035;29;7;3.36;0.9942;10.1;0.13;0.04;0.21;0.23
6.5;120;0.34;10.6;0.039;32;6;3.31;0.9962;10.1;0.20;0.30;0.25;0.29
5.8;120;0.79;2.6;0.025;12;7;3.39;0.9894;14;0.25;0.34;0.21;0.29
6.3;155;0.38;5.8;0.038;52;6;3.28;0.995;9.4;0.13;0.40;0.25;0.27
6.3;107;0.43;2.8;0.028;45;6;3.27;0.9908;11.8;0.33;0.47;0.42;0.17
6.3;148;0.53;1.6;0.033;59;5;3.44;0.9914;11.4;0.10;0.01;0.4;0.16
7.9;117;0.42;6.7;0.036;6;5;3.12;0.9938;10.7;0.10;0.82;0.39;0.29
7.3;160;0.45;10.2;0.041;58;5;3.06;0.9977;8.6;0.17;0.25;0.69;0.31
5.5;191;0.49;4.9;0.028;25;7;3.51;0.9922;11.5;1.00;0.55;0.45;0.32
5.2;128;0.49;3.8;0.027;21;8;3.55;0.992;11.2;0.11;0.70;0.45;0.24
7.2;87;0.59;2;0.029;27;7;3.3;0.9903;12.6;0.11;0.57;0.15;0.37
6.1;76;0.51;1.7;0.024;13;7;3.21;0.9893;12.6;0.50;0.36;0.27;0.29
9.2;151;0.46;2.4;0.054;18;4;3.04;0.9952;9.3;0.33;0.08;0.4;0.22
7.2;87;0.59;2;0.029;27;7;3.3;0.9903;12.6;0.17;0.87;0.15;0.37
8;96;0.61;1.3;0.04;15;6;3.06;0.9912;12.1;0.10;1.00;0.37;0.18
6.5;177;0.44;12;0.053;55;6;3.52;0.9983;9.9;1.00;0.35;0.34;0.22
7.4;102;0.44;1.6;0.047;22;5;3.28;0.9937;10.7;1.00;0.92;0.4;0.18
6.5;26;0.32;1.4;0.047;5;4;3.26;0.9932;10;0.10;0.34;0.17;0.52
7;96;0.39;2.2;0.047;33;8;3.13;0.9928;10.4;0.17;0.02;0.38;0.15
5.9;64;0.52;1.4;0.04;11;5;3.29;0.9922;10.5;0.25;0.70;0.13;0.415
8.1;216;0.64;8.3;0.037;33;5;3.31;0.9976;9.7;0.13;0.88;0.34;0.45
5.8;64;0.52;1.4;0.04;11;5;3.29;0.9922;10.5;0.20;0.25;0.13;0.415
6.4;138;0.33;12.9;0.042;26;5;3.28;0.9974;9;1.00;0.15;0.16;0.5
6.7;106;0.45;12.4;0.051;34;6;3.54;0.998;9.2;0.50;0.13;0.32;0.105
6;117;0.48;1.6;0.047;30;6;3.17;0.9931;10.1;0.13;0.47;0.3;0.4
6.6;89;0.4;1.45;0.04;40;7;3.35;0.9911;11.4;0.14;0.97;0.39;0.25
9.8;124;0.46;1.6;0.042;11;5;2.93;0.9944;10.8;0.50;0.61;0.45;0.36
9.6;135;0.49;1.5;0.044;19;5;2.96;0.9937;10.9;0.10;0.99;0.4;0.23
6.3;182;0.46;13;0.047;33;6;3.2;0.9974;9.2;0.14;0.87;0.45;0.55
6.5;166;0.25;1.95;0.038;73;7;3.12;0.989;12.9;0.50;0.36;0.29;0.115
6.4;99;0.32;5.85;0.042;24;7;3.23;0.992;12;0.10;0.86;0.29;0.125
5.7;100;0.46;1.3;0.047;21;5;3.27;0.9928;9.5;0.10;0.05;0.27;0.1
7.9;117;0.32;5.3;0.031;33;7;3.06;0.9918;11.8;0.14;0.58;0.29;0.25
6.9;159;0.43;1.2;0.048;36;6;3.19;0.9936;9.1;0.33;0.05;0.28;0.2
6.9;128;0.52;4;0.047;24;6;3.2;0.9944;9.7;0.50;0.85;0.34;0.23
6.8;162;0.54;14.35;0.043;28;5;3.17;0.9988;9.1;0.33;0.41;0.31;0.39
8.7;114;0.43;2.3;0.053;27;5;2.99;0.994;10;1.00;0.36;0.42;0.22
7.4;127;0.42;4.7;0.042;19;5;3.25;0.9953;10.4;0.25;0.94;0.34;0.41
6.7;161;0.47;12.85;0.048;30;6;3.44;0.9986;9.5;0.10;0.07;0.34;0.25
6;178;0.4;5.2;0.027;70;8;3.4;0.9914;12.3;0.13;0.70;0.42;0.26
6.1;170;0.4;8.4;0.031;70;8;3.42;0.9934;11.7;0.33;0.23;0.37;0.31
9.2;133;0.58;3.2;0.058;39;5;3.14;0.996;9.5;1.00;0.79;0.46;0.28
9;91;0.34;6.9;0.034;26;5;2.99;0.9937;11.5;0.10;0.95;0.49;0.31
8.5;57;0.46;1;0.076;17;6;3.14;0.9921;10.6;0.20;0.58;0.33;0.16
9.3;146;0.61;7.3;0.052;30;5;3.17;0.998;10.2;0.25;0.97;0.49;0.34
9.2;133;0.58;3.2;0.058;39;5;3.14;0.996;9.5;0.33;0.25;0.46;0.28
7.2;131;0.45;1.6;0.048;27;5;3.25;0.9933;10.5;0.20;0.85;0.3;0.24
7.2;132;0.44;1.5;0.047;27;5;3.26;0.9933;10.5;0.11;0.48;0.32;0.25
6.8;223;0.41;7.5;0.041;71;5;3.14;0.9959;8.9;0.13;0.96;0.18;0.32
9.1;151;0.41;1.1;0.031;15;5;3.03;0.9936;10.6;0.13;0.68;0.32;0.27
8.9;188;0.49;1.3;0.041;12;5;3.17;0.9953;9.5;0.20;0.60;0.32;0.34
7;111;0.49;5.7;0.025;29;6;3.2;0.9938;10.8;0.20;0.23;0.37;0.17
6.7;220;0.35;7.2;0.038;61;5;3.14;0.9952;9.5;0.17;0.96;0.23;0.25
6.9;219;0.4;7.6;0.042;69;5;3.13;0.9959;8.9;0.14;0.92;0.17;0.32
6.8;223;0.41;7.5;0.041;71;5;3.14;0.9959;8.9;0.50;0.49;0.18;0.32
6.1;79;0.38;1.3;0.042;24;4;3.31;0.9937;9.4;0.25;0.13;0;0.6
5.3;102;0.35;1.3;0.035;26;6;3.5;0.992;10.6;0.25;0.20;0.07;0.395
7.9;171;0.44;4.8;0.037;37;4;3.47;0.9967;9;1.00;0.05;0.3;0.16
7.6;172;0.48;2.1;0.034;26;4;3.42;0.9944;10.5;0.13;0.81;0.36;0.33
7.8;135;0.38;16.85;0.054;23;6;3.16;0.9998;9;0.33;0.55;0.29;0.3
7.8;135;0.38;16.85;0.054;23;6;3.16;0.9998;9;0.25;0.59;0.29;0.3
5.7;189.5;0.38;4.1;0.201;73.5;6;3.27;0.9942;9.4;0.50;0.41;0.27;0.26
7.8;135;0.38;16.85;0.054;23;6;3.16;0.9998;9;0.50;0.48;0.29;0.3
7.5;153;0.8;1.3;0.055;50;6;3.29;0.9945;9.6;0.17;0.91;0.34;0.14
7.8;135;0.38;16.85;0.054;23;6;3.16;0.9998;9;0.20;0.93;0.29;0.3
6.6;151;0.6;7.4;0.043;29;7;3.15;0.9946;10.2;0.14;0.69;0.41;0.25
5.7;189.5;0.38;4.1;0.201;73.5;6;3.27;0.9942;9.4;0.13;0.97;0.27;0.26
8.2;73;0.38;0.9;0.057;15;6;3.07;0.9928;10.4;0.50;0.75;0.49;0.23
6;129;0.41;6.3;0.03;34;5;3.52;0.9946;10.4;0.20;0.03;0.32;0.24
6.1;82;0.32;0.8;0.039;13;5;3.23;0.9927;9.5;0.33;0.06;0.27;0.45
7.4;113;0.62;1.4;0.044;22;6;3.22;0.9938;10.6;0.13;0.48;0.43;0.23
7.2;74;0.37;1;0.037;21;5;3.21;0.9918;11;0.13;0.87;0.38;0.2
7.5;153;0.8;1.3;0.055;50;6;3.29;0.9945;9.6;0.33;0.89;0.34;0.14
7.7;115;0.5;4.5;0.062;20;6;3.38;0.9966;9.9;0.10;0.34;0.43;0.25
8.2;118;0.34;5.4;0.03;15;5;3.14;0.9954;9.6;1.00;0.82;0.45;0.61
7.6;119;0.7;1.9;0.036;10;6;3.01;0.9913;12.8;0.10;0.37;0.44;0.21
7.4;101;0.55;2;0.045;31;5;3.42;0.9931;11.4;0.33;0.60;0.33;0.22
7.2;214;0.5;12.7;0.036;49;6;3.41;0.9986;10;0.20;0.17;0.26;0.26
6.4;173;0.44;8.6;0.042;57;5;3;0.9965;9.1;0.20;0.86;0.41;0.25
6.3;198;0.5;11.1;0.039;29;7;3.36;0.9984;9.4;0.13;0.73;0.35;0.32
6.8;189;0.54;2;0.042;19;6;3.46;0.9952;10.2;0.33;0.07;0.29;0.25
9.8;167;0.39;2.8;0.036;35;5;2.97;0.9956;9.2;0.25;0.35;0.4;0.44
7.2;109;0.36;4.5;0.044;31;5;3.23;0.9949;9.4;1.00;0.81;0.25;0.2
8.2;118;0.34;5.4;0.03;15;5;3.14;0.9954;9.6;0.11;0.92;0.45;0.61
7.5;125;0.36;9.1;0.029;20;6;3.12;0.996;10.1;0.11;0.25;0.45;0.42
7.4;101;0.55;2;0.045;31;5;3.42;0.9931;11.4;0.17;0.61;0.33;0.22
6.4;134;0.47;2.2;0.025;33;6;3.21;0.992;10.6;0.25;0.56;0.3;0.26
7.9;138;0.44;4.1;0.033;40;7;3.18;0.9912;12.8;0.17;0.46;0.32;0.46
6.5;225;0.51;11.8;0.065;65;5;3.12;0.9978;8.9;0.25;0.03;0.64;0.41
7.5;184;0.43;1.2;0.048;22;5;3.09;0.9938;9.3;0.25;0.43;0.37;0.32
6.6;104;0.4;2.2;0.026;40;8;3.25;0.9914;11.1;0.20;0.74;0.38;0.21
7.1;143;0.33;1.4;0.037;45;6;3.13;0.9932;9.9;0.50;0.65;0.3;0.21
7.6;55;0.45;1.6;0.068;5;5;3.1;0.9944;9.6;0.17;0.16;0.47;0.26
7.6;119;0.7;1.9;0.036;10;6;3.01;0.9913;12.8;0.25;0.22;0.44;0.21
6.9;135;0.72;5.2;0.024;36;7;3.16;0.9948;10.7;0.13;0.44;0.26;0.25
7.1;107;0.42;14.45;0.074;29;6;2.96;0.998;9.2;0.50;0.91;0.32;0.26
7.3;129.5;0.41;14.75;0.042;44.5;7;3.36;0.9998;9.1;0.20;0.86;0.4;0.22
6.2;216;0.6;8.3;0.025;36;6;3.33;0.9964;9.6;0.13;0.98;0.22;0.37
7.9;141;0.46;14.2;0.038;53;6;3.03;0.9992;9.2;0.20;0.35;0.45;0.22
6.9;135;0.72;5.2;0.024;36;7;3.16;0.9948;10.7;1.00;0.33;0.26;0.25
7.3;129.5;0.41;14.75;0.042;44.5;7;3.36;0.9998;9.1;0.14;0.10;0.4;0.22
7.1;107;0.42;14.45;0.074;29;6;2.96;0.998;9.2;0.14;0.53;0.32;0.26
7.4;93;0.48;6.9;0.02;14;7;3;0.9939;10.7;0.13;0.09;0.37;0.25
6.8;93;0.45;1.5;0.027;37;6;3.3;0.992;10.8;0.50;0.63;0.37;0.18
7;75;0.46;1.5;0.028;26;7;3.3;0.9922;10.8;0.17;0.44;0.37;0.17
6.4;192;0.37;7.8;0.046;35;5;3.1;0.9955;9;0.10;0.04;0.38;0.3
5;97;0.44;1.5;0.049;10;6;3.48;0.9917;10.7;0.50;0.88;0.16;0.33
5;97;0.44;1.5;0.049;10;6;3.48;0.9917;10.7;0.10;0.84;0.16;0.33
8.9;200;0.46;1.5;0.047;11;5;3.19;0.9954;9.4;0.13;0.51;0.32;0.33
7;171;0.35;15.55;0.037;61;6;2.94;0.9986;8.8;0.50;0.06;0.46;0.26
6.4;192;0.37;7.8;0.046;35;5;3.1;0.9955;9;0.33;0.55;0.38;0.3
6.3;134;0.49;1.7;0.031;48;6;3.42;0.9917;11.5;0.25;0.41;0.4;0.21
8;125;0.47;1.5;0.03;30;6;3.23;0.9907;12.5;0.33;0.07;0.46;0.23
9.2;59;0.25;1;0.042;14;6;2.96;0.9922;10.5;0.13;0.59;0.41;0.28
7.3;188;0.3;6.7;0.064;28;5;3.29;0.9958;9.7;0.33;0.08;0.39;0.27
7.6;155;0.52;1.6;0.04;32;6;3.23;0.993;11.3;0.25;0.99;0.36;0.32
5;97;0.44;1.5;0.049;10;6;3.48;0.9917;10.7;0.20;0.86;0.16;0.33
9.7;59;0.47;1.2;0.033;11;6;2.74;0.9926;10.8;0.14;0.93;0.45;0.24
8;169;0.43;7.1;0.045;41;5;3.17;0.9959;10.6;0.17;0.36;0.42;0.28
8.2;93;0.32;1;0.034;17;8;3.04;0.9906;11.7;0.25;0.13;0.36;0.37
8;220;0.48;12.1;0.301;24;5;2.94;0.9993;9.2;1.00;0.90;0.38;0.61
7.2;126;0.34;7.1;0.027;25;8;3.02;0.993;11.1;0.50;0.28;0.44;0.26
8.2;93;0.32;1;0.034;17;8;3.04;0.9906;11.7;0.17;0.05;0.36;0.37
6.4;217.5;0.44;1.15;0.044;15.5;6;3.33;0.992;11;0.25;0.43;0.33;0.23
5.9;127;0.58;6;0.034;50;7;3.51;0.992;12.5;0.10;0.35;0.32;0.4
7.6;115;0.67;1.2;0.038;21;6;3.16;0.994;10;0.10;0.06;0.39;0.28
8;169;0.43;7.1;0.045;41;5;3.17;0.9959;10.6;0.25;0.47;0.42;0.28
7.2;102;0.54;2.3;0.033;29;7;3.26;0.9908;12.3;0.10;0.83;0.39;0.23
6.8;87;0.53;3.4;0.023;19;6;3.14;0.9902;12.7;0.10;0.50;0.37;0.32
7.2;102;0.54;2.3;0.033;29;7;3.26;0.9908;12.3;0.13;0.95;0.39;0.23
6.9;110;0.42;6.5;0.039;20;5;3.1;0.9943;10.5;1.00;0.56;0.38;0.18
9.4;109;0.28;1.2;0.047;25;6;3.23;0.9921;12.5;1.00;0.78;0.53;0.26
8.3;96;0.32;1.15;0.033;18;3;3.2;0.9911;12.4;1.00;0.66;0.42;0.33
7.3;238;0.41;13;0.043;46;6;3.06;0.9986;8.7;0.50;0.25;0.3;0.29
7.9;114;0.54;4.5;0.03;40;7;3.17;0.992;12.4;0.25;0.88;0.37;0.41
7.9;93;0.54;5.85;0.033;27;7;3.16;0.992;12.6;0.17;0.57;0.37;0.44
7.7;131;0.44;5.2;0.037;29;6;3.38;0.9943;11;1.00;0.17;0.3;0.39
7.7;155;0.5;1.3;0.043;47;6;3.42;0.9937;10.1;0.17;0.37;0.31;0.26
7.8;195;0.48;1.7;0.036;46;5;3.03;0.993;10.5;0.14;0.21;0.31;0.32
6.8;87;0.53;3.4;0.023;19;6;3.14;0.9902;12.7;0.50;0.77;0.37;0.32
7.3;116;0.51;3.6;0.024;35;5;3.17;0.9928;10.9;0.20;0.63;0.39;0.24
7.1;128;0.43;2.7;0.041;35;7;3.07;0.9896;13.5;0.13;0.67;0.37;0.44
10.3;164;0.59;2.2;0.042;28;5;3.19;0.998;9.7;0.20;0.00;0.48;0.25
7.9;178;0.43;1.8;0.041;44;6;3.45;0.9954;9.2;0.33;0.11;0.28;0.14
7.4;187;0.41;2.1;0.036;33;7;3.4;0.9938;10.6;0.10;0.51;0.42;0.18
8.1;141;0.39;6.6;0.033;36;7;2.98;0.9918;13.3;0.20;0.50;0.42;0.43
7.1;128;0.43;2.7;0.041;35;7;3.07;0.9896;13.5;0.25;0.20;0.37;0.44
6.4;131;0.32;5.1;0.037;23;5;3.29;0.9944;10.1;0.11;0.24;0.22;0.26
8;233;0.68;17.55;0.042;62;4;2.92;0.9999;9.4;0.14;0.70;0.72;0.66
8;167;0.4;5.2;0.055;41;7;3.18;0.9953;10.6;0.25;0.38;0.4;0.2
7.2;80;0.4;1.1;0.046;25;6;3.25;0.992;11.3;0.25;0.95;0.34;0.21
7.2;73;0.4;1.1;0.045;20;7;3.32;0.9925;10.8;0.25;0.89;0.31;0.18
8.4;195;0.51;10.7;0.051;46;5;3.15;0.9981;10.4;0.17;0.47;0.44;0.57
5.3;160;0.51;5.15;0.034;48;7;3.82;0.9952;10.5;0.20;0.42;0.23;0.26
5.7;150;0.42;1.1;0.049;28;5;3.13;0.9927;9.3;1.00;0.04;0.33;0.245
5.6;152;0.42;1.1;0.047;24;6;3.12;0.9927;9.3;0.17;0.17;0.32;0.245
7.3;165;0.39;1.8;0.037;52;7;3.29;0.9911;12.2;0.25;0.60;0.41;0.25
7;150;0.3;1;0.138;58;5;3.08;0.9936;9.2;0.10;0.47;0.73;0.16
6.4;104;0.57;1.8;0.057;29;6;3.81;0.9959;10.3;1.00;0.45;0.34;0.22
7.3;157;0.62;1.4;0.046;28;6;3.33;0.9946;9.4;0.14;0.54;0.65;0.18
6.4;223;0.35;6.7;0.036;88;6;3.28;0.9948;10.2;0.17;0.88;0.27;0.17
6.9;212;0.39;6.8;0.034;65;6;3.08;0.9955;9;0.10;0.29;0.16;0.29
6.2;245;0.36;6.8;0.036;64;6;3.06;0.9951;9.3;1.00;0.03;0.38;0.21
6.4;236;0.34;7.1;0.037;63;6;3.06;0.9952;9.2;0.17;0.39;0.3;0.23
7.3;156;0.64;1.5;0.05;31;6;3.32;0.9946;9.4;0.20;0.23;0.68;0.19
7.3;157;0.62;1.4;0.046;28;6;3.33;0.9946;9.4;0.11;0.66;0.65;0.18
9.6;223;0.46;1.45;0.039;77.5;6;2.92;0.9944;9.5;0.20;0.98;0.46;0.29
7.2;73;0.39;1.2;0.036;15;5;3.46;0.9938;9.9;0.50;0.92;0.35;0.14
6.9;174;0.62;7.4;0.059;36;7;3.46;0.9963;11.1;0.14;0.22;0.34;0.31
7.5;116;0.41;4.2;0.028;36;8;2.99;0.991;12.3;0.20;0.20;0.34;0.28
8;163;0.69;14.6;0.044;45;7;3.21;1.0003;8.6;0.20;0.36;0.42;0.22
7.6;145;0.35;10.5;0.04;21;5;3.04;0.9966;9.4;0.13;0.66;0.29;0.31
8.4;190;0.58;13.8;0.048;55;6;3.07;0.9993;9.4;0.33;0.54;0.56;0.35
8;163;0.69;14.6;0.044;45;7;3.21;1.0003;8.6;0.17;0.49;0.42;0.22
8.1;126;0.42;1.1;0.037;23;5;3.21;0.9938;10.9;0.50;0.57;0.47;0.5
7;162;0.48;5.3;0.169;32;5;3.2;0.9965;9.4;0.25;0.70;0.31;0.39
8.1;126;0.42;1.1;0.037;23;5;3.21;0.9938;10.9;0.10;0.02;0.47;0.5
8.4;190;0.58;13.8;0.048;55;6;3.07;0.9993;9.4;0.11;0.13;0.56;0.35
6.2;132;0.46;1.5;0.064;20;6;3.22;0.9938;9.2;0.14;0.79;0.27;0.22
8;163;0.69;14.6;0.044;45;7;3.21;1.0003;8.6;0.14;0.89;0.42;0.22
7.6;145;0.35;10.5;0.04;21;5;3.04;0.9966;9.4;0.10;0.63;0.29;0.31
7;133;0.37;4.9;0.083;10;6;3.33;0.9942;10.8;0.14;0.93;0.36;0.24
6.6;153;0.62;1.9;0.025;14;6;3.29;0.9928;10.5;0.10;0.20;0.3;0.27
7.8;140;0.78;1.7;0.026;29;6;3.02;0.991;12.5;0.13;0.34;0.41;0.16
7.7;168;0.48;1.8;0.028;26;7;2.99;0.9911;12.1;0.17;0.72;0.34;0.27
7.4;147;0.43;10.7;0.039;51;5;3.02;0.9977;8.7;1.00;0.28;0.74;0.31
8;151;0.25;8.8;0.026;50;8;3.07;0.9927;12.7;0.14;0.99;0.36;0.45
7.7;168;0.48;1.8;0.028;26;7;2.99;0.9911;12.1;0.20;0.01;0.34;0.27
7.8;140;0.78;1.7;0.026;29;6;3.02;0.991;12.5;0.25;0.72;0.41;0.16
6.6;147;0.44;1.8;0.05;40;7;3.06;0.9912;11.4;0.13;0.73;0.29;0.16
8.3;110;0.6;1.6;0.032;35;7;3.02;0.9907;12.9;1.00;0.88;0.4;0.21
7.2;109;0.51;1.4;0.029;29;7;3.15;0.9902;12.8;0.25;0.41;0.33;0.32
6.6;78;0.44;1.6;0.034;15;6;3.38;0.992;11.2;0.10;0.22;0.3;0.16
8.4;98;0.42;1.5;0.033;16;6;3.14;0.994;9.7;0.10;0.34;0.33;0.16
7.5;191;0.56;9.2;0.038;54;6;3.04;0.9966;9.7;0.10;0.53;0.32;0.23
6.2;79;0.54;1.1;0.037;14;6;3.5;0.993;10.3;0.20;0.25;0.3;0.17
6.9;102;0.87;4.3;0.03;10;4;3;0.993;11.6;0.11;0.91;0.22;0.39
6.9;102;0.86;4.2;0.031;10;4;3;0.993;11.6;0.20;0.76;0.22;0.41
7.5;191;0.56;9.2;0.038;54;6;3.04;0.9966;9.7;0.17;0.58;0.32;0.23
